ID  , Area          , Attività                                                                                                    , Stato     , File coinvolti                        , Note                                                                                                                               , Commit
A01 , Analisi       , Raccogliere esempi di fallimento — identificare color cast / alone / over-smoothing / allucinazione / rumore, Da fare   , notebooks/failure_analysis.ipynb      , Tassonomia obbligatoria dalla sezione §8 dello spec                                                                                , 
A02 , Analisi       , Scrivere ipotesi causale per ogni tipo di fallimento                                                        , Da fare   , notebooks/failure_analysis.ipynb      , Collegare il fallimento all'architettura o alla distribuzione dei dati                                                             , 
A03 , Analisi       , Analizzare il gap di prestazioni cross-dataset (quantitativo + visivo)                                      , Da fare   , notebooks/cross_dataset_analysis.ipynb, Domanda di ricerca centrale del progetto                                                                                           , 
A04 , Analisi       , Proporre due strategie di mitigazione e implementarne almeno una                                            , Da fare   , src/models/ o src/losses/             , Deve essere testata non solo proposta                                                                                              , 
A05 , Analisi       , Valutare la mitigazione implementata e confrontare con la baseline                                          , Da fare   , results/mitigation_results.csv        ,                                                                                                                                    , 
R01 , Report        , Scrivere introduzione e motivazione del problema                                                            , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R02 , Report        , Documentare i dataset (scelte licenze preprocessing split)                                                  , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R03 , Report        , Documentare le architetture dei modelli (baseline + variante + diagrammi)                                   , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R04 , Report        , Documentare il setup di addestramento (loss ottimizzatore schedule hardware seed)                           , Da fare   , report/report.tex                     , Tutti i dettagli di riproducibilità                                                                                                , 
R05 , Report        , Scrivere la sezione risultati della valutazione (tabelle + figure qualitative)                              , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R06 , Report        , Scrivere la sezione di analisi e discussione (tassonomia fallimenti + gap cross-dataset)                    , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R07 , Report        , Scrivere conclusioni e lavori futuri                                                                        , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R08 , Report        , Revisione finale formattazione e controllo bibliografia                                                     , Da fare   , report/report.tex                     , Scadenza: 18 giugno 2026                                                                                                           , 
P01 , Presentazione , Definire la struttura delle slide (sezioni e flusso)                                                        , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P02 , Presentazione , Creare slide — problema dataset e preprocessing                                                             , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P03 , Presentazione , Creare slide — architettura del modello (baseline vs variante)                                              , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P04 , Presentazione , Creare slide — tabelle risultati e confronti visivi                                                         , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P05 , Presentazione , Creare slide — analisi dei fallimenti e mitigazione                                                         , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P06 , Presentazione , Preparare domande anticipate per l'esame orale e relative risposte                                          , Da fare   , planning/oral_prep.md                 , Scadenza: 18 giugno 2026                                                                                                           , 
